text,cleantext,tokens,polarity,subjectivity,sentiment,neg,neu,pos,compound
"COVID-19 kills 201 more Iranians over past 24 hours

#COVID19 #coronavirus

https://t.co/hef6ukrLaC https://t.co/FPfLnLuzPV",covid kill iranian past hour covid coronaviru,"['covid', 'kill', 'iranian', 'past', 'hour', 'covid', 'coronaviru']",-0.25,0.25,negative,0.439,0.561,0.0,-0.6908
Current #LongCOVID #Statistics Are Missing the Background Prevalence by @Shin63714105 https://t.co/o0NIolDkS3 #COVID #Science #COVID19 #COVID_19 #coronavirusPandemic #coronavirus #Pandemic #Endemic #Health #PublicHealth #HealthCare,current longcovid statist miss background preval covid scienc covid covid coronaviruspandem coronaviru pandem endem health publichealth healthcar,"['current', 'longcovid', 'statist', 'miss', 'background', 'preval', 'covid', 'scienc', 'covid', 'covid', 'coronaviruspandem', 'coronaviru', 'pandem', 'endem', 'health', 'publichealth', 'healthcar']",0.0,0.4,negative,0.091,0.909,0.0,-0.1531
As we’re facing rapidly increasing prices and the additional costs of lateral flow tests could be an unaffordable burden for many will you @BootsUK @LloydsPharmacy @LidlGB @superdrug commit to selling these tests at cost price. #COVID19,face rapidli increas price addit cost later flow test unafford burden commit sell test cost price covid,"['face', 'rapidli', 'increas', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.0,0.0,negative,0.144,0.746,0.109,-0.1779
7 Day Covid Growth in Deaths per 1K Population by County For NE   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/zAF7fZ6GxQ,dai covid growth death k popul counti ne  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'ne', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
7 Day Covid Growth in Deaths per 1K Population by County For NE   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/3ZielOdCdJ,dai covid growth death k popul counti ne  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'ne', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"J&amp;K #COVID19 Update

31 new positive cases &amp; no death reported in past 24 hours. Active cases 357

#WearAMask😷😷😷😷",jk covid updat new posit case death report past hour activ case wearamask,"['jk', 'covid', 'updat', 'new', 'posit', 'case', 'death', 'report', 'past', 'hour', 'activ', 'case', 'wearamask']",-0.05681818181818182,0.3522727272727273,negative,0.232,0.655,0.113,-0.4588
7 Day Covid Growth in Deaths per 1K Population by County For MT   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/Hyklx4GwmS,dai covid growth death k popul counti mt  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'mt', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
"#COVID19 | Faridabad reports 11 new cases, 0 death, &amp; 29 recoveries today; Active cases at 138. Positivity rate at 8.34% https://t.co/coNjbhjE73",covid faridabad report new case death recoveri today activ case posit rate,"['covid', 'faridabad', 'report', 'new', 'case', 'death', 'recoveri', 'todai', 'activ', 'case', 'posit', 'rate']",0.13636363636363635,0.45454545454545453,negative,0.262,0.738,0.0,-0.5994
"Two years ago is when #COVID19 began to dominate the news &amp; emotions all over the country. With work shifting to online but did confirm one thing I’ve thought for a while, we as Americans do live in a burnout society. We need to stop and enjoy time. #ByungChulHan",year ago covid began domin new emot countri work shift onlin confirm thing iv thought american live burnout societi need stop enjoi te byungchulhan,"['year', 'ago', 'covid', 'began', 'domin', 'new', 'emot', 'countri', 'work', 'shift', 'onlin', 'confirm', 'thing', 'iv', 'thought', 'american', 'live', 'burnout', 'societi', 'need', 'stop', 'enjoi', 'time', 'byungchulhan']",0.0909090909090909,0.3181818181818182,negative,0.087,0.913,0.0,-0.296
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"🛑 Covid Numbers -&gt; % active cases to Hosp ratio Is highest-38.19% 🛑
#Covid19 #Pune mask &amp; maintain #CAB &amp; #Vaccination #MaskUpPune 
99 New cases ⬇️
665 Active ⬇️
% active cases in Hosp 38.19% ⬆️
129 discharged ⬇️
57 O2 ⬆️
11 ventilator ⬇️
2703 Testing ⬇️
🟢 0 Deaths 🟢 ⬇️ https://t.co/X1Kf2bzNfQ https://t.co/PR0mPsdtoB",covid number  activ case hosp ratio highest covid pune mask maintain cab vaccin maskuppun new case activ activ case hosp discharg o ventil test death,"['covid', 'number', 'activ', 'case', 'hosp', 'ratio', 'highest', 'covid', 'pune', 'mask', 'maintain', 'cab', 'vaccin', 'maskuppun', 'new', 'case', 'activ', 'activ', 'case', 'hosp', 'discharg', 'o', 'ventil', 'test', 'death']",0.13636363636363635,0.45454545454545453,negative,0.143,0.809,0.048,-0.5574
"#Karnataka government has informed the Supreme Court that a total of 39,952 deaths have been reported due to #Covid19 in the state till March 1, this year. 

 https://t.co/tTvn60XkAo",karnataka govern inform suprem court total death report covid state till march year,"['karnataka', 'govern', 'inform', 'suprem', 'court', 'total', 'death', 'report', 'covid', 'state', 'till', 'march', 'year']",0.0,0.75,negative,0.245,0.755,0.0,-0.5994
7 Day Covid Growth in Deaths per 1K Population by County For MT   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/20qjo3gTuC,dai covid growth death k popul counti mt  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'mt', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
#Facebook now tagging posts that have nothing to do with #covid19 with covid links.  #Misinformation and #Propaganda FACT: Not all conditions with these symptoms are covid. People with #VestibularIssues have these symptoms with their disability. https://t.co/N1m7MQN5n1,facebook tag post covid covid link misinform propaganda fact condit symptom covid peopl vestibularissu symptom disabl,"['facebook', 'tag', 'post', 'covid', 'covid', 'link', 'misinform', 'propaganda', 'fact', 'condit', 'symptom', 'covid', 'peopl', 'vestibularissu', 'symptom', 'disabl']",-0.1,0.1,negative,0.118,0.882,0.0,-0.25
@Surgeon_General @smithsonian Please focus more time and energy on the study of #LongCovid. In a century there will be an exhibit illustrating our struggle and the mismanagement of #COVID19. We are suffering and need help. I am at 2 years now. Time is limited. @POTUS @XavierBecerra @timkaine @SpeakerPelosi,focu te energi studi longcovid centuri exhibit illustr struggl mismanag covid suffer need help year te lite,"['focu', 'time', 'energi', 'studi', 'longcovid', 'centuri', 'exhibit', 'illustr', 'struggl', 'mismanag', 'covid', 'suffer', 'need', 'help', 'year', 'time', 'limit']",0.0,0.0,negative,0.165,0.708,0.127,-0.2023
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"@inyadin80 @LizardHumanoid My pericarditis was 7 years ago, so had nothing to do with the #pandemic

There are cases of myocarditis linked to #vaccine reactions, but these are very, very rare when compared to the deaths and longterm health damage caused by #COVID19.

Read the article, dude, trust #Science",pericard year ago pandem case myocard link vaccin reaction rare compar death longterm health damag caus covid read articl dude trust scienc,"['pericard', 'year', 'ago', 'pandem', 'case', 'myocard', 'link', 'vaccin', 'reaction', 'rare', 'compar', 'death', 'longterm', 'health', 'damag', 'caus', 'covid', 'read', 'articl', 'dude', 'trust', 'scienc']",0.3,0.9,negative,0.143,0.735,0.121,-0.1531
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"@DavidPepper @ShannonFreshour Perhaps far fetched perhaps not But theory is #COVID19-like strains have been around far longer than anyone knows These strains impact populations w\brain degrading stroke-like effects (generally white #MAGAMuts) — #Conservative thought, paranoia, cult think psychosis, hate, fear",far fetch theori covidlik strain far longer know strain pact popul wbrain degrad strokelik effect gener white magamuts conserv thought paranoia cult think psychosi hate fear,"['far', 'fetch', 'theori', 'covid-lik', 'strain', 'far', 'longer', 'know', 'strain', 'impact', 'popul', 'w', 'brain', 'degrad', 'stroke-lik', 'effect', 'gener', 'white', 'magamut', 'conserv', 'thought', 'paranoia', 'cult', 'think', 'psychosi', 'hate', 'fear']",-0.15000000000000002,0.725,negative,0.35,0.65,0.0,-0.8519
"'It's clear that #COVID19 can trigger a tremendous amount of inflammation and that can wreak havoc on the vascular system, leading to dangerous blood clots in the lungs and other parts of the body.'
https://t.co/gGY0PDoJA5
#PulmonaryEmbolism",it clear covid trigger tremend inflamm wreak havoc vascular lead danger blood clot lung part body pulmonaryembol,"[""it'"", 'clear', 'covid', 'trigger', 'tremend', 'inflamm', 'wreak', 'havoc', 'vascular', 'lead', 'danger', 'blood', 'clot', 'lung', 'part', 'bodi', 'pulmonaryembol']",0.10000000000000002,0.3833333333333333,negative,0.305,0.586,0.109,-0.6908
7 Day Covid Growth in Deaths per 1K Population by County For MO   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/lcaRGdaZ6F,dai covid growth death k popul counti mo  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'mo', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
"For millions of immunocompromised nationwide the 'new normal' of the #pandemic could be more dangerous and , at times, more isolating #COVID19 https://t.co/4aGgYUYjyb",million munocompromis nationwid new normal pandem danger te isol covid,"['million', 'immunocompromis', 'nationwid', 'new', 'normal', 'pandem', 'danger', 'time', 'isol', 'covid']",0.1431818181818182,0.5522727272727272,negative,0.274,0.726,0.0,-0.5267
"13 days ago a good, pure soul from my relative side passed away silently ""its an side effect of Vaccine #Covid19 HeartAttack"", he had locked door from inside and slept. When His family shouted ""no reply"", they had broke door and went inside. They found him dead..",dai ago good pure soul rel pass awai silent effect vaccin covid heartattack lock door insid slept famili shout repli broke door went insid dead,"['dai', 'ago', 'good', 'pure', 'soul', 'rel', 'pass', 'awai', 'silent', 'effect', 'vaccin', 'covid', 'heartattack', 'lock', 'door', 'insid', 'slept', 'famili', 'shout', 'repli', 'broke', 'door', 'went', 'insid', 'dead']",0.17857142857142855,0.4,negative,0.222,0.688,0.091,-0.6369
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
7 Day Covid Growth in Deaths per 1K Population by County For MO   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/wqWkVamNwy,dai covid growth death k popul counti mo  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'mo', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"Google has released an update to its mobility reports, as a result we're seeing the Global GDP-weighted index of Workplace Patronage at -5.3% vs baseline. Within G4, Japan is currently leading while United Kingdom is lagging. #COVID19 https://t.co/MufQgOrSuO",googl releas updat mobil report result wer see global gdpweight index workplac patronag  vs baselin g japan current lead unit kingdom lag covid,"['googl', 'releas', 'updat', 'mobil', 'report', 'result', ""we'r"", 'see', 'global', 'gdp-weight', 'index', 'workplac', 'patronag', 'vs', 'baselin', 'g', 'japan', 'current', 'lead', 'unit', 'kingdom', 'lag', 'covid']",0.0,0.2,negative,0.103,0.897,0.0,-0.34
"Google has released an update to its mobility reports, as a result we're seeing the Global GDP-weighted index of Retail &amp; Recreation Patronage at -2.0% vs baseline. Within G4, United States is currently leading while United Kingdom is lagging. #COVID19 https://t.co/azJ4LszLEI",googl releas updat mobil report result wer see global gdpweight index retail recreat patronag  vs baselin g unit state current lead unit kingdom lag covid,"['googl', 'releas', 'updat', 'mobil', 'report', 'result', ""we'r"", 'see', 'global', 'gdp-weight', 'index', 'retail', 'recreat', 'patronag', 'vs', 'baselin', 'g', 'unit', 'state', 'current', 'lead', 'unit', 'kingdom', 'lag', 'covid']",0.0,0.2,negative,0.094,0.906,0.0,-0.34
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"@MTHart12 Thanks MT. My #screenwriting debut #AnEveningwithNevilleHeath I penned in prison without internet or a library closed due to #COVID19 just a pad, biro and photographic memory. I’m #seekingrepresentation so I can pitch to #Filmmaking #theatre #TV #netflix #Producer ✍️🇬🇧 https://t.co/XSIzWtvOTL",thank mt screenwrit debut aneveningwithnevilleheath pen prison internet librari close covid pad biro photograph memori seekingrepresent pitch filmmak theatr tv netflix produc,"['thank', 'mt', 'screenwrit', 'debut', 'aneveningwithnevilleheath', 'pen', 'prison', 'internet', 'librari', 'close', 'covid', 'pad', 'biro', 'photograph', 'memori', 'seekingrepresent', 'pitch', 'filmmak', 'theatr', 'tv', 'netflix', 'produc']",0.0,0.0,negative,0.128,0.775,0.097,-0.2023
7 Day Covid Growth in Deaths per 1K Population by County For MS   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/OsSyAXAjLB,dai covid growth death k popul counti ms  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'ms', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
"Daily Update 03/06: 

According to the Johns Hopkins University, 15,217 new cases and 293 fatalities were reported yesterday.

The total number of confirmed cases are now 79.26 million and fatalities are 958,437.

https://t.co/69ezYLR9qM

#COVID19 #mSightly https://t.co/tKDH92yIZk",daili updat  accord john hopkin univers new case fatal report yesterdai total number confirm case million fatal covid msightli,"['daili', 'updat', '/:', 'accord', 'john', 'hopkin', 'univers', 'new', 'case', 'fatal', 'report', 'yesterdai', 'total', 'number', 'confirm', 'case', 'million', 'fatal', 'covid', 'msightli']",0.06818181818181818,0.6022727272727273,negative,0.288,0.658,0.053,-0.7717
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
"Since the start of the pandemic, 983,837 Americans have died from #COVID19 (16.4% of all deaths worldwide). That is about the same as 5,856 Oklahoma City bombings which killed 168 people in 1995: https://t.co/QbALqYyT5N",start pandem american di covid  death worldwide oklahoma citi bomb kill peopl ,"['start', 'pandem', 'american', 'di', 'covid', 'death', 'worldwid', 'oklahoma', 'citi', 'bomb', 'kill', 'peopl']",0.0,0.0,negative,0.567,0.433,0.0,-0.9153
"St Kitts and Nevis reports 5,490 recoveries with zero deaths
#StKittsandNevis, #COVID19

https://t.co/QcLMNz8PfV",st kitt nevi report recoveri zero death stkittsandnevi covid,"['st', 'kitt', 'nevi', 'report', 'recoveri', 'zero', 'death', 'stkittsandnevi', 'covid']",0.0,0.0,negative,0.328,0.672,0.0,-0.5994
"Despite #COVID19 restrictions, this is happening tomorrow.  10,000 people throwing coloured flour at each other.  
https://t.co/watVKFJxMR",despit covid restrict happen tomorrow peopl throw colour flour,"['despit', 'covid', 'restrict', 'happen', 'tomorrow', 'peopl', 'throw', 'colour', 'flour']",0.0,0.0,negative,0.245,0.755,0.0,-0.3818
"Please sign
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19",sign right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['sign', 'right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.126,0.779,0.095,-0.1779
"#HONGKONG @HausfeldGlobal @hrw
@HongKong 
Human rights protection is enshrined in the Basic Law and its Bill of Rights Ordinance (Cap. 383).
The forced mass testing and 3 wk shut down for LESS deaths than A NORMAL DAY/YEAR👇 #CrimeAgainstHumanity #COVID19
https://t.co/toYjd9uwLm https://t.co/hIYjccnacO",hongkong human right protect enshrin basic law right ordin cap  forc mass test wk shut death normal dayyear creagainsthuman covid,"['hongkong', 'human', 'right', 'protect', 'enshrin', 'basic', 'law', 'right', 'ordin', 'cap', 'forc', 'mass', 'test', 'wk', 'shut', 'death', 'normal', 'dai', 'year', 'crimeagainsthuman', 'covid']",0.1442857142857143,0.38928571428571423,negative,0.159,0.735,0.106,-0.3182
7 Day Covid Growth in Deaths per 1K Population by County For MS   2022-03-01:  Latest Covid Insights by Our Analytics Team using USAFacts #datavisualization #datascience #analytics #healthtech #data #covid19 #publichealth #covid #globalhealth #RStats https://t.co/q7FlkjJpNG,dai covid growth death k popul counti ms  latest covid insight analyt team usafact datavisu datasci analyt healthtech data covid publichealth covid globalhealth rstat,"['dai', 'covid', 'growth', 'death', 'k', 'popul', 'counti', 'ms', 'latest', 'covid', 'insight', 'analyt', 'team', 'usafact', 'datavisu', 'datasci', 'analyt', 'healthtech', 'data', 'covid', 'publichealth', 'covid', 'globalhealth', 'rstat']",0.5,0.9,negative,0.142,0.764,0.095,-0.3182
Right now we’re facing skyrocketing prices and the additional costs of lateral flow tests could be an unaffordable burden. That’s why I’m calling on you @BootsUK @LloydsPharmacy @LidlGB @superdrug to commit to selling these tests at cost price. #COVID19,right face skyrocket price addit cost later flow test unafford burden that call commit sell test cost price covid,"['right', 'face', 'skyrocket', 'price', 'addit', 'cost', 'later', 'flow', 'test', 'unafford', 'burden', 'that', 'call', 'commit', 'sell', 'test', 'cost', 'price', 'covid']",0.14285714285714285,0.26785714285714285,negative,0.131,0.769,0.1,-0.1779
