text,cleantext,tokens,polarity,subjectivity,sentiment,neg,neu,pos,compound
"It’s Sunday, March 6, 2022 &amp; this is your daily reminder that it was @KamalaHarris who first told Americans NOT to get the #COVID19 vaccine=&gt; 
@933KWTO @NewstalkSTL https://t.co/azBFrsPrYq",sundai march daili remind told american covid vaccine,"['sundai', 'march', 'daili', 'remind', 'told', 'american', 'covid', 'vaccin']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"#Nagaland #COVID19 #UPDATE as on March 6, 2022. https://t.co/4EtdTwwp3a",nagaland covid updat march,"['nagaland', 'covid', 'updat', 'march']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Download it:     https://t.co/mUd8hbEHq1

#DataScience #Python #100DaysOfCode #IoT #flutter #javascript #Serverless #CyberSecurity #tech #DDoS #DeepLearning #fintech #COVID19 #data #RPA #IIoT #5G #FiverrGig #Freelance https://t.co/hRY2i7Hmsm",download it datasci python daysofcod iot flutter javascript serverless cybersecur tech ddo deeplearn fintech covid data rpa iiot g fiverrgig freelanc,"['download', 'datasci', 'python', 'daysofcod', 'iot', 'flutter', 'javascript', 'serverless', 'cybersecur', 'tech', 'ddo', 'deeplearn', 'fintech', 'covid', 'data', 'rpa', 'iiot', 'g', 'fiverrgig', 'freelanc']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"SOCIAL DISTANCING AND WEARING MASKS OUTDOORS ARE NO LONGER MANDATORY IN THE KINGDOM.

Source: https://t.co/gdK5CGEQUH

#COVID19 #covid #StaySafe #saudinews #saudiarabia #facemask #FNRCO #nomoremask #jobsinsaudiarabia #jobs #employment #jobvacancy #recruiting #careers #recruiter https://t.co/Jv4nHKzjwq",social distanc wear mask outdoor longer mandatori kingdom source covid covid staysaf saudinew saudiarabia facemask fnrco nomoremask jobsinsaudiarabia job employ jobvac recruit career recruit,"['social', 'distanc', 'wear', 'mask', 'outdoor', 'longer', 'mandatori', 'kingdom', 'sourc', 'covid', 'covid', 'staysaf', 'saudinew', 'saudiarabia', 'facemask', 'fnrco', 'nomoremask', 'jobsinsaudiarabia', 'job', 'employ', 'jobvac', 'recruit', 'career', 'recruit']",0.03333333333333333,0.06666666666666667,neutral,0.0,1.0,0.0,0.0
"Check out this week’s #NYCTestandTrace #COVID19 testing sites #onStatenIsland. Testing is no cost to you. COVID-19 vaccines are available at select locations. Text ""COVID TEST"" to 855-48 for more info. Hours and locations: https://t.co/qjyyFp3hYa https://t.co/TQnNnaFg8Y",check week nyctestandtrac covid test site onstatenisland test cost covid vaccin avail select locat text covid test  info hour locations,"['check', 'week', 'nyctestandtrac', 'covid', 'test', 'site', 'onstatenisland', 'test', 'cost', 'covid', 'vaccin', 'avail', 'select', 'locat', 'text', 'covid', 'test', 'info', 'hour', 'locat']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"@nilikm What about diet &amp; exercise, supplements, early treatment therapeutics AND…

Recognize previous infections?!

57% of the world has already been infected according to seroprevalence studies &amp; estimates from Institute of Health Metrics and Evaluation.

#covid19 #Immunity #Health https://t.co/i631tTGi0T",diet exercis supplement earli treatment therapeut recogn previou infect world infect accord seropreval studi estat institut health metric evalu covid muniti health,"['diet', 'exercis', 'supplement', 'earli', 'treatment', 'therapeut', 'recogn', 'previou', 'infect', 'world', 'infect', 'accord', 'seropreval', 'studi', 'estim', 'institut', 'health', 'metric', 'evalu', 'covid', 'immun', 'health']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Happy #COVID19 Sunday
#OregonShelterInPlace Day 714

#NowSmoking… #WasSmoking…
A dandy 3.0-Mile #CigarWalk with this 1845 Extra Oscuro by Partagas Cigars

What Say You? 
What Cigar Are You Smoking with Today?

#ThreeMileCigar
- @PartagasCigars, #1845ExtraOscuro

#StaySmoky https://t.co/SeAq4KR5aW",happi covid sundai oregonshelterinplac dai nowsmok wassmok dandi mile cigarwalk extra oscuro partaga cigar cigar smoke todai threemilecigar  extraoscuro staysmoki,"['happi', 'covid', 'sundai', 'oregonshelterinplac', 'dai', 'nowsmok', 'wassmok', 'dandi', 'mile', 'cigarwalk', 'extra', 'oscuro', 'partaga', 'cigar', 'cigar', 'smoke', 'todai', 'threemilecigar', 'extraoscuro', 'staysmoki']",0.0,0.1,neutral,0.0,1.0,0.0,0.0
#covid19 #vaccine #Health by Drew Sheneman https://t.co/WgdESvkYVs #maga #kag #tcot #uspoli,covid vaccin health drew sheneman maga kag tcot uspoli,"['covid', 'vaccin', 'health', 'drew', 'sheneman', 'maga', 'kag', 'tcot', 'uspoli']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Download it : https://t.co/mUd8hbEHq1

#COVID19 #data #RPA #IIoT 
#MachineLearning #DataScience #Python #AI #100DaysOfCode #IoT #flutter #javascript #Serverless #CyberSecurity #tech #DDoS #DeepLearning #fintech #COVID19 #data #RPA #IIoT
#DataScience #Python #100DaysOfCode https://t.co/Um2rBm4LFd",download  covid data rpa iiot machinelearn datasci python ai daysofcod iot flutter javascript serverless cybersecur tech ddo deeplearn fintech covid data rpa iiot datasci python daysofcod,"['download', 'covid', 'data', 'rpa', 'iiot', 'machinelearn', 'datasci', 'python', 'ai', 'daysofcod', 'iot', 'flutter', 'javascript', 'serverless', 'cybersecur', 'tech', 'ddo', 'deeplearn', 'fintech', 'covid', 'data', 'rpa', 'iiot', 'datasci', 'python', 'daysofcod']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
"Key opinion leaders debate on the necessity of #COVID19 #Booster shots.

https://t.co/GGuXPaDY2W",kei opinion leader debat necess covid booster shot,"['kei', 'opinion', 'leader', 'debat', 'necess', 'covid', 'booster', 'shot']",0.0,0.0,neutral,0.0,1.0,0.0,0.0
