text,cleantext,tokens,polarity,subjectivity,sentiment,neg,neu,pos,compound
"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if you feel well 🙏. Download the app https://t.co/Wzeh9oru54",help slow spread covid identifi risk case sooner selfreport symptom daili feel download app,"['help', 'slow', 'spread', 'covid', 'identifi', 'risk', 'case', 'sooner', 'self-report', 'symptom', 'daili', 'feel', 'download', 'app']",-0.30000000000000004,0.39999999999999997,positive,0.125,0.714,0.161,0.1531
"With news that @BootsUK is selling lateral flow tests for £6 EACH, I’m calling on @BootsUK @LloydsPharmacy @LidlGB @superdrug to not use lateral flow tests to turn a profit by committing to selling lateral flow tests at cost price. #COVID19",new sell later flow test call us later flow test turn profit commit sell later flow test cost price covid,"['new', 'sell', 'later', 'flow', 'test', 'call', 'us', 'later', 'flow', 'test', 'turn', 'profit', 'commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'covid']",0.03409090909090909,0.11363636363636363,positive,0.0,0.779,0.221,0.6249
"With news that @BootsUK is selling lateral flow tests for £6 EACH, I’m calling on @BootsUK @LloydsPharmacy @LidlGB @superdrug to not use lateral flow tests to turn a profit by committing to selling lateral flow tests at cost price. #COVID19",new sell later flow test call us later flow test turn profit commit sell later flow test cost price covid,"['new', 'sell', 'later', 'flow', 'test', 'call', 'us', 'later', 'flow', 'test', 'turn', 'profit', 'commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'covid']",0.03409090909090909,0.11363636363636363,positive,0.0,0.779,0.221,0.6249
".@BootsUK @LloydsPharmacy @LidlGB @superdrug will you commit to selling lateral flow tests at cost price, rather than profiting from a global pandemic? #COVID19",commit sell later flow test cost price profit global pandem covid,"['commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'profit', 'global', 'pandem', 'covid']",0.0,0.0,positive,0.0,0.638,0.362,0.6249
"With news that @BootsUK is selling lateral flow tests for £6 EACH, I’m calling on @BootsUK @LloydsPharmacy @LidlGB @superdrug to not use lateral flow tests to turn a profit by committing to selling lateral flow tests at cost price. #COVID19",new sell later flow test call us later flow test turn profit commit sell later flow test cost price covid,"['new', 'sell', 'later', 'flow', 'test', 'call', 'us', 'later', 'flow', 'test', 'turn', 'profit', 'commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'covid']",0.03409090909090909,0.11363636363636363,positive,0.0,0.779,0.221,0.6249
".@BootsUK @LloydsPharmacy @LidlGB @superdrug will you commit to selling lateral flow tests at cost price, rather than profiting from a global pandemic? #COVID19",commit sell later flow test cost price profit global pandem covid,"['commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'profit', 'global', 'pandem', 'covid']",0.0,0.0,positive,0.0,0.638,0.362,0.6249
"The #COVID19 #pandemic of #2020 caused great #travel restrictions, but #traveljournal #writer Melvyn Penn manages to visit 4 locations that year- #Kent #DevonandCornwall #Athens and #Fuerteventura 
https://t.co/KdLRVCCfjG https://t.co/YH1sZ1KILq",covid pandem caus great travel restrict traveljourn writer melvyn penn manag visit locat year kent devonandcornwal athen fuerteventura,"['covid', 'pandem', 'caus', 'great', 'travel', 'restrict', 'traveljourn', 'writer', 'melvyn', 'penn', 'manag', 'visit', 'locat', 'year', 'kent', 'devonandcornwal', 'athen', 'fuerteventura']",0.8,0.75,positive,0.115,0.705,0.181,0.3612
".@BootsUK @LloydsPharmacy @LidlGB @superdrug will you commit to selling lateral flow tests at cost price, rather than profiting from a global pandemic? #COVID19",commit sell later flow test cost price profit global pandem covid,"['commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'profit', 'global', 'pandem', 'covid']",0.0,0.0,positive,0.0,0.638,0.362,0.6249
".@BootsUK @LloydsPharmacy @LidlGB @superdrug will you commit to selling lateral flow tests at cost price, rather than profiting from a global pandemic? #COVID19",commit sell later flow test cost price profit global pandem covid,"['commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'profit', 'global', 'pandem', 'covid']",0.0,0.0,positive,0.0,0.638,0.362,0.6249
".@BootsUK @LloydsPharmacy @LidlGB @superdrug will you commit to selling lateral flow tests at cost price, rather than profiting from a global pandemic? #COVID19",commit sell later flow test cost price profit global pandem covid,"['commit', 'sell', 'later', 'flow', 'test', 'cost', 'price', 'profit', 'global', 'pandem', 'covid']",0.0,0.0,positive,0.0,0.638,0.362,0.6249
Just saw a truck say “stay home if you’re sick come over if you’re thick #covid19” on the back of the window. made my morning lmao,saw truck stai home your sick come your covid window morn lmao,"['saw', 'truck', 'stai', 'home', 'your', 'sick', 'come', 'your', 'covid', 'window', 'morn', 'lmao']",-0.05714285714285716,0.9285714285714286,positive,0.192,0.581,0.227,0.1531
.@JoeBiden Versus the Friends of #COVID19 (by @paulkrugman) https://t.co/PGCh8QB03V,versu friend covid by ,"['versu', 'friend', 'covid']",0.0,0.0,positive,0.0,0.484,0.516,0.4939
